,model_name,model_variation,dimension,female_names,male_names
0,Qwen3-8B,democratic_9-g-n,Sociability,0.4126517870973558,-0.4126517870973554
1,Qwen3-8B,democratic_9-g-n,Morality,0.4918259191513467,-0.4918259191513467
2,Qwen3-8B,democratic_9-g-n,Ability,-0.0629526413616557,0.0629526413616553
3,Qwen3-8B,democratic_9-g-n,Agency,-0.4407746669748678,0.4407746669748675
4,Qwen3-8B,democratic_9-g-n,Status,-0.0767137216135844,0.0767137216135843
5,Qwen3-8B,democratic_9-g-n,Politics,-0.0923703769031949,0.0923703769031949
6,Qwen3-8B,democratic_9-g-n,Religion,-0.0805515477042806,0.0805515477042805
7,Meta-Llama-3-8B,conservative_6-g-n,Sociability,0.38019640581996,-0.3801964058199603
8,Meta-Llama-3-8B,conservative_6-g-n,Morality,0.3737774216301571,-0.3737774216301567
9,Meta-Llama-3-8B,conservative_6-g-n,Ability,-0.1541210335948816,0.1541210335948816
10,Meta-Llama-3-8B,conservative_6-g-n,Agency,-0.4836784483549778,0.4836784483549774
11,Meta-Llama-3-8B,conservative_6-g-n,Status,-0.2030666060704488,0.203066606070449
12,Meta-Llama-3-8B,conservative_6-g-n,Politics,-0.2441648252110912,0.2441648252110911
13,Meta-Llama-3-8B,conservative_6-g-n,Religion,0.0366877506411454,-0.0366877506411455
14,Meta-Llama-3-8B,liberal_3-g-n,Sociability,0.4240007225667162,-0.4240007225667163
15,Meta-Llama-3-8B,liberal_3-g-n,Morality,0.3206799412249395,-0.3206799412249397
16,Meta-Llama-3-8B,liberal_3-g-n,Ability,-0.0731981739008195,0.0731981739008193
17,Meta-Llama-3-8B,liberal_3-g-n,Agency,-0.5046031645030626,0.5046031645030622
18,Meta-Llama-3-8B,liberal_3-g-n,Status,-0.079458233349236,0.0794582333492348
19,Meta-Llama-3-8B,liberal_3-g-n,Politics,-0.0859053691951512,0.0859053691951514
20,Meta-Llama-3-8B,liberal_3-g-n,Religion,0.1948617054015005,-0.1948617054015007
21,Apertus-8B-Instruct-2509,conservative_1-g-n,Sociability,0.4818316476773037,-0.4818316476773034
22,Apertus-8B-Instruct-2509,conservative_1-g-n,Morality,0.2138484136392456,-0.2138484136392465
23,Apertus-8B-Instruct-2509,conservative_1-g-n,Ability,-0.0137114977626469,0.0137114977626471
24,Apertus-8B-Instruct-2509,conservative_1-g-n,Agency,-0.42349352194749,0.4234935219474918
25,Apertus-8B-Instruct-2509,conservative_1-g-n,Status,-0.1906278859272191,0.1906278859272205
26,Apertus-8B-Instruct-2509,conservative_1-g-n,Politics,0.1049208773102852,-0.1049208773102849
27,Apertus-8B-Instruct-2509,conservative_1-g-n,Religion,-0.1053554766601427,0.1053554766601428
28,Meta-Llama-3-8B,democratic_4-g-n,Sociability,0.3858346728811186,-0.3858346728811183
29,Meta-Llama-3-8B,democratic_4-g-n,Morality,0.3978728789623926,-0.397872878962393
30,Meta-Llama-3-8B,democratic_4-g-n,Ability,-0.1499285202961326,0.1499285202961326
31,Meta-Llama-3-8B,democratic_4-g-n,Agency,-0.4249120677123202,0.4249120677123203
32,Meta-Llama-3-8B,democratic_4-g-n,Status,-0.2564888129650584,0.2564888129650586
33,Meta-Llama-3-8B,democratic_4-g-n,Politics,-0.1555212422607639,0.155521242260764
34,Meta-Llama-3-8B,democratic_4-g-n,Religion,0.0339954517694342,-0.0339954517694341
35,Qwen3-8B,democratic_8-g-n,Sociability,0.4170716872003275,-0.4170716872003283
36,Qwen3-8B,democratic_8-g-n,Morality,0.5103917453345985,-0.510391745334598
37,Qwen3-8B,democratic_8-g-n,Ability,-0.1112015225714737,0.1112015225714734
38,Qwen3-8B,democratic_8-g-n,Agency,-0.4455246360842358,0.4455246360842355
39,Qwen3-8B,democratic_8-g-n,Status,-0.0786641027048246,0.0786641027048249
40,Qwen3-8B,democratic_8-g-n,Politics,-0.0702498317438077,0.0702498317438078
41,Qwen3-8B,democratic_8-g-n,Religion,-0.1052622614894753,0.1052622614894751
42,Meta-Llama-3-8B,conservative_10-g-n,Sociability,0.3684338732345995,-0.3684338732345988
43,Meta-Llama-3-8B,conservative_10-g-n,Morality,0.3792550382823829,-0.3792550382823823
44,Meta-Llama-3-8B,conservative_10-g-n,Ability,-0.1990246661110396,0.1990246661110396
45,Meta-Llama-3-8B,conservative_10-g-n,Agency,-0.4679823822956923,0.4679823822956925
46,Meta-Llama-3-8B,conservative_10-g-n,Status,-0.204920190400163,0.2049201904001633
47,Meta-Llama-3-8B,conservative_10-g-n,Politics,-0.1903640467114262,0.1903640467114262
48,Meta-Llama-3-8B,conservative_10-g-n,Religion,-0.0031709524734539,0.003170952473454
49,Qwen3-8B,conservative_4-g-n,Sociability,0.4233322583819574,-0.4233322583819571
50,Qwen3-8B,conservative_4-g-n,Morality,0.4953323042863122,-0.4953323042863123
51,Qwen3-8B,conservative_4-g-n,Ability,-0.1191944250884939,0.1191944250884939
52,Qwen3-8B,conservative_4-g-n,Agency,-0.4318604887356774,0.4318604887356778
53,Qwen3-8B,conservative_4-g-n,Status,-0.0503055291221211,0.0503055291221215
54,Qwen3-8B,conservative_4-g-n,Politics,-0.0681621728575215,0.0681621728575215
55,Qwen3-8B,conservative_4-g-n,Religion,-0.1427014939793135,0.1427014939793139
56,Meta-Llama-3-8B,liberal_4-g-n,Sociability,0.4334641953242236,-0.4334641953242236
57,Meta-Llama-3-8B,liberal_4-g-n,Morality,0.3161756758465118,-0.3161756758465122
58,Meta-Llama-3-8B,liberal_4-g-n,Ability,-0.083093319896901,0.083093319896901
59,Meta-Llama-3-8B,liberal_4-g-n,Agency,-0.5309585383996356,0.5309585383996357
60,Meta-Llama-3-8B,liberal_4-g-n,Status,-0.1274698773642232,0.127469877364224
61,Meta-Llama-3-8B,liberal_4-g-n,Politics,-0.0606930769878898,0.0606930769878899
62,Meta-Llama-3-8B,liberal_4-g-n,Religion,0.2129373825597823,-0.2129373825597836
63,Meta-Llama-3-8B,conservative_2-g-n,Sociability,0.3529386159262377,-0.3529386159262377
64,Meta-Llama-3-8B,conservative_2-g-n,Morality,0.4116713784535692,-0.411671378453569
65,Meta-Llama-3-8B,conservative_2-g-n,Ability,-0.1809942215308869,0.1809942215308869
66,Meta-Llama-3-8B,conservative_2-g-n,Agency,-0.4606270270188466,0.4606270270188463
67,Meta-Llama-3-8B,conservative_2-g-n,Status,-0.1829930930120588,0.1829930930120589
68,Meta-Llama-3-8B,conservative_2-g-n,Politics,-0.2159181705549322,0.2159181705549322
69,Meta-Llama-3-8B,conservative_2-g-n,Religion,0.0140610440910365,-0.0140610440910362
70,Qwen3-8B,democratic_2-g-n,Sociability,0.4275283201564994,-0.4275283201564985
71,Qwen3-8B,democratic_2-g-n,Morality,0.4860110354527155,-0.4860110354527155
72,Qwen3-8B,democratic_2-g-n,Ability,-0.083329240162147,0.0833292401621472
73,Qwen3-8B,democratic_2-g-n,Agency,-0.4437429194900567,0.4437429194900569
74,Qwen3-8B,democratic_2-g-n,Status,-0.0268043545819327,0.0268043545819336
75,Qwen3-8B,democratic_2-g-n,Politics,-0.0348242314801408,0.0348242314801406
76,Qwen3-8B,democratic_2-g-n,Religion,-0.0547875748491745,0.0547875748491755
77,Apertus-8B-Instruct-2509,conservative_9-g-n,Sociability,0.440576953890997,-0.4405769538909954
78,Apertus-8B-Instruct-2509,conservative_9-g-n,Morality,0.2186168433390131,-0.2186168433390139
79,Apertus-8B-Instruct-2509,conservative_9-g-n,Ability,-0.0226283936865465,0.0226283936865462
80,Apertus-8B-Instruct-2509,conservative_9-g-n,Agency,-0.3795958734572366,0.3795958734572375
81,Apertus-8B-Instruct-2509,conservative_9-g-n,Status,-0.2264089884822794,0.2264089884822767
82,Apertus-8B-Instruct-2509,conservative_9-g-n,Politics,0.013978764234129,-0.013978764234129
83,Apertus-8B-Instruct-2509,conservative_9-g-n,Religion,-0.1566499902921546,0.1566499902921565
84,Meta-Llama-3-8B,conservative_4-g-n,Sociability,0.3590823582635011,-0.3590823582635009
85,Meta-Llama-3-8B,conservative_4-g-n,Morality,0.390736149336171,-0.39073614933617
86,Meta-Llama-3-8B,conservative_4-g-n,Ability,-0.143918740545806,0.143918740545806
87,Meta-Llama-3-8B,conservative_4-g-n,Agency,-0.4759970370629811,0.4759970370629811
88,Meta-Llama-3-8B,conservative_4-g-n,Status,-0.1655023884277281,0.165502388427728
89,Meta-Llama-3-8B,conservative_4-g-n,Politics,-0.2569182221212225,0.2569182221212225
90,Meta-Llama-3-8B,conservative_4-g-n,Religion,0.0281454393897147,-0.0281454393897144
91,Qwen3-8B,conservative_8-g-n,Sociability,0.4481621880418508,-0.4481621880418512
92,Qwen3-8B,conservative_8-g-n,Morality,0.4853158604685374,-0.4853158604685373
93,Qwen3-8B,conservative_8-g-n,Ability,-0.1267585196944222,0.1267585196944213
94,Qwen3-8B,conservative_8-g-n,Agency,-0.4367475906600691,0.4367475906600698
95,Qwen3-8B,conservative_8-g-n,Status,-0.0542541666051124,0.0542541666051128
96,Qwen3-8B,conservative_8-g-n,Politics,-0.0973098937281591,0.0973098937281591
97,Qwen3-8B,conservative_8-g-n,Religion,-0.1183093509839166,0.1183093509839175
98,Apertus-8B-Instruct-2509,democratic_1-g-n,Sociability,0.4497082954563698,-0.449708295456371
99,Apertus-8B-Instruct-2509,democratic_1-g-n,Morality,0.2243502770200574,-0.2243502770200575
100,Apertus-8B-Instruct-2509,democratic_1-g-n,Ability,-0.0377955642127022,0.037795564212702
101,Apertus-8B-Instruct-2509,democratic_1-g-n,Agency,-0.3841883835636216,0.3841883835636214
102,Apertus-8B-Instruct-2509,democratic_1-g-n,Status,-0.2101479484770781,0.2101479484770791
103,Apertus-8B-Instruct-2509,democratic_1-g-n,Politics,0.0039103013173238,-0.003910301317324
